row_num,manufacturer,film_name,box_count,warehouses,recommendation,target_manufacturer,target_film_name,reason,confidence
"57","Llumar","Llumar DR 15","3","IL1|MS1","ADD_TO_CATALOG","Llumar","DR 15","no catalog candidate","medium"
"58","Llumar","Llumar DR-35","3","IL1|MS1","ADD_TO_CATALOG","Llumar","DR-35","no catalog candidate","medium"
"59","Llumar","Llumar N1020","3","IL1|MS1","ADD_TO_CATALOG","Llumar","N1020","no catalog candidate","medium"
"60","Llumar","Llumar Silver Sparkle","3","IL1","ADD_TO_CATALOG","Llumar","Silver Sparkle","no catalog candidate","medium"
"61","Llumar","Llumar V 18","3","IL1","ADD_TO_CATALOG","Llumar","V 18","no catalog candidate","medium"
"62","Security","Madico Clear 8 MIL Safetyshield 800","3","IL1","ADD_TO_CATALOG","Security","Madico Clear 8 MIL Safetyshield 800","no catalog candidate","medium"
"63","Security","Madico Frost Matte 2 Mil 200PS","3","IL1","ADD_TO_CATALOG","Security","Madico Frost Matte 2 Mil 200PS","no catalog candidate","medium"
"64","Security","Madico Safetyshield 700","3","MS1","ADD_TO_CATALOG","Security","Madico Safetyshield 700","no catalog candidate","medium"
"65","Security","Solyx Safety Sand Blast","3","MS1","ADD_TO_CATALOG","Security","Solyx Safety Sand Blast","no catalog candidate","medium"
"66","Solar Gard","SG Sentinel Plus Silver 20 Ext.","3","IL1","ADD_TO_CATALOG","Solar Gard","Sentinel Plus Silver 20 Ext.","no catalog candidate","medium"
"67","Solyx","Solyx Blackout","3","MS1","ADD_TO_CATALOG","Solyx","Blackout","no catalog candidate","medium"
"68","Vinyl","651 Black Matte","3","IL1","ADD_TO_CATALOG","Vinyl","651 Black Matte","no catalog candidate","medium"
"69","Vinyl","Renegade 20%","3","MS1","ADD_TO_CATALOG","Vinyl","Renegade 20%","no catalog candidate","medium"
"70","3M Fasara","Fasara Glace","2","MS1","ADD_TO_CATALOG","3M Fasara","Glace","no catalog candidate","medium"
"71","3M Fasara","Fasara Lausanne","2","MS1","ADD_TO_CATALOG","3M Fasara","Lausanne","no catalog candidate","medium"
"72","3M Solar","3M Amber Low E 35","2","IL1","ADD_TO_CATALOG","3M Solar","Amber Low E 35","no catalog candidate","medium"
"73","3M Solar","3M BLACK IPA CAULK","2","IL1","IGNORE_NON_FILM","","","contains caulk/sealant/consumable terms","high"
"74","3M Solar","3M Night Vision 25","2","IL1|MS1","ADD_TO_CATALOG","3M Solar","Night Vision 25","no catalog candidate","medium"
"75","3M Solar","3M PR","2","IL1|MS1","ADD_TO_CATALOG","3M Solar","PR","no catalog candidate","medium"
"76","3M Solar","3M PR 40X","2","MS1","ADD_TO_CATALOG","3M Solar","PR 40X","no catalog candidate","medium"
"77","3M Solar","3M RE35NEARL","2","IL1","ADD_TO_CATALOG","3M Solar","RE35NEARL","no catalog candidate","medium"
"78","3M Solar","3M Silver P18","2","MS1","ADD_TO_CATALOG","3M Solar","Silver P18","no catalog candidate","medium"
"79","ASWFVKOOL","Madico BL 200 PS","2","MS1","ADD_TO_CATALOG","ASWFVKOOL","Madico BL 200 PS","no catalog candidate","medium"
"80","ASWFVKOOL","V-Kool VK 40","2","IL1","ADD_TO_CATALOG","ASWFVKOOL","V-Kool VK 40","no catalog candidate","medium"
"81","ASWFVKOOL","V-Kool VK 70","2","IL1","ADD_TO_CATALOG","ASWFVKOOL","V-Kool VK 70","no catalog candidate","medium"
"82","Avery Dennison","AVERY - Silver 20 XRTM Exterior","2","IL1","ADD_TO_CATALOG","Avery Dennison","- Silver 20 XRTM Exterior","no catalog candidate","medium"
"83","Avery Dennison","Avery E-Lite 45","2","IL1","ADD_TO_CATALOG","Avery Dennison","E-Lite 45","no catalog candidate","medium"
"84","Avery Dennison","Avery E-Lite 70","2","IL1","ADD_TO_CATALOG","Avery Dennison","E-Lite 70","no catalog candidate","medium"
"85","Avery Dennison","Avery Matte White","2","MS1","ADD_TO_CATALOG","Avery Dennison","Matte White","no catalog candidate","medium"
"86","Avery Dennison","Avery Natura 05","2","MS1","ADD_TO_CATALOG","Avery Dennison","Natura 05","no catalog candidate","medium"
"87","Avery Dennison","Avery Neutral Perlite 50","2","MS1","ADD_TO_CATALOG","Avery Dennison","Neutral Perlite 50","no catalog candidate","medium"
"88","Avery Dennison","Avery Perlite 50","2","MS1","ADD_TO_CATALOG","Avery Dennison","Perlite 50","no catalog candidate","medium"
"89","Avery Dennison","Avery White Matte A.D.","2","MS1","ADD_TO_CATALOG","Avery Dennison","White Matte A.D.","no catalog candidate","medium"
"90","Avery Dennison","HT LITE 70","2","IL1","ADD_TO_CATALOG","Avery Dennison","HT LITE 70","no catalog candidate","medium"
"91","Di-Noc","Di-Noc Stone","2","MS1","ADD_TO_CATALOG","Di-Noc","Di-Noc Stone","no catalog candidate","medium"
"92","Llumar","Llumar ATC 30%","2","MS1","ADD_TO_CATALOG","Llumar","ATC 30%","no catalog candidate","medium"
"93","Llumar","Llumar ATC 35%","2","MS1","ADD_TO_CATALOG","Llumar","ATC 35%","no catalog candidate","medium"
"94","Llumar","Llumar CTX 5%","2","MS1","ADD_TO_CATALOG","Llumar","CTX 5%","no catalog candidate","medium"
"95","Llumar","Llumar CTX 50%","2","MS1","ADD_TO_CATALOG","Llumar","CTX 50%","no catalog candidate","medium"
"96","Llumar","Llumar Frost","2","MS1","ADD_TO_CATALOG","Llumar","Frost","no catalog candidate","medium"
"97","Llumar","Llumar N1065","2","IL1","ADD_TO_CATALOG","Llumar","N1065","no catalog candidate","medium"
"98","Llumar","LLUMAR PS13","2","IL1","ADD_TO_CATALOG","Llumar","PS13","no catalog candidate","medium"
"99","Llumar","Llumar SCL SR PS8","2","IL1","ADD_TO_CATALOG","Llumar","SCL SR PS8","no catalog candidate","medium"
"100","Llumar","Mini Dots GRADIENT","2","IL1","ADD_TO_CATALOG","Llumar","Mini Dots GRADIENT","no catalog candidate","medium"
"101","Llumar","N1050","2","IL1","ADD_TO_CATALOG","Llumar","N1050","no catalog candidate","medium"
"102","Llumar","NHE 1020","2","IL1","ADD_TO_CATALOG","Llumar","NHE 1020","no catalog candidate","medium"
"103","Llumar","Vista 61","2","IL1","ADD_TO_CATALOG","Llumar","Vista 61","no catalog candidate","medium"
"104","Llumar","Vista Neutral 45","2","IL1","ADD_TO_CATALOG","Llumar","Vista Neutral 45","no catalog candidate","medium"
"105","Llumar","VS 61","2","IL1","ADD_TO_CATALOG","Llumar","VS 61","no catalog candidate","medium"
"106","Security","Avery Dennison DS Matte 2 MIL R07311","2","MS1","ADD_TO_CATALOG","Security","Avery Dennison DS Matte 2 MIL R07311","no catalog candidate","medium"
"107","Security","Avery Dennison Safety Matte 12 MIL R32311C","2","IL1","ADD_TO_CATALOG","Security","Avery Dennison Safety Matte 12 MIL R32311C","no catalog candidate","medium"
"108","Security","Llumar DR 15 Safety 9 MIL","2","IL1","ADD_TO_CATALOG","Security","Llumar DR 15 Safety 9 MIL","no catalog candidate","medium"
"109","Security","Madico Optivision 45","2","MS1","ADD_TO_CATALOG","Security","Madico Optivision 45","no catalog candidate","medium"
"110","Security","SOL Ultrasafe WM560","2","IL1","ADD_TO_CATALOG","Security","SOL Ultrasafe WM560","no catalog candidate","medium"
"111","Solar Gard","SG Bronze 20","2","IL1|MS1","ADD_TO_CATALOG","Solar Gard","Bronze 20","no catalog candidate","medium"
"112","Solar Gard","SG EXT Sentinel Plus Silver 35","2","MS1","ADD_TO_CATALOG","Solar Gard","EXT Sentinel Plus Silver 35","no catalog candidate","medium"
"113","Solar Gard","SG Panarama HiLite 70","2","IL1","ADD_TO_CATALOG","Solar Gard","Panarama HiLite 70","no catalog candidate","medium"
"114","Solar Gard","SG Sentinel plus DX 15","2","MS1","ADD_TO_CATALOG","Solar Gard","Sentinel plus DX 15","no catalog candidate","medium"
"115","Solar Gard","SG Sentinel Plus DX15 EXT","2","MS1","ADD_TO_CATALOG","Solar Gard","Sentinel Plus DX15 EXT","no catalog candidate","medium"
"116","Solar Gard","SG Silver 20 HC","2","IL1","ADD_TO_CATALOG","Solar Gard","Silver 20 HC","no catalog candidate","medium"
"117","Solar Gard","SG Sterling 70","2","IL1","ADD_TO_CATALOG","Solar Gard","Sterling 70","no catalog candidate","medium"
"118","Solar Gard","SG TrueVue 30","2","IL1|MS1","REVIEW_MAP_CANDIDATE","Solar Gard","Truevue 30","multiple normalized matches (2)","medium"
"119","Solar Gard","Silver 20 Ext","2","MS1","ADD_TO_CATALOG","Solar Gard","Silver 20 Ext","no catalog candidate","medium"
"120","Solar Gard","Silver 20 Exterior","2","MS1","ADD_TO_CATALOG","Solar Gard","Silver 20 Exterior","no catalog candidate","medium"
"121","Solar Gard","Solar Guard Truevue 15","2","MS1","REVIEW_MAP_CANDIDATE","Solar Gard","Truevue 15","multiple normalized matches (2)","medium"
"122","Solar Gard","SolarGuard Truevue 15","2","MS1","REVIEW_MAP_CANDIDATE","Solar Gard","Truevue 15","multiple normalized matches (2)","medium"
"123","Solar Gard","Sterling 70","2","IL1","ADD_TO_CATALOG","Solar Gard","Sterling 70","no catalog candidate","medium"
"124","Solyx","SOL SGC6523 - COVENTRY","2","IL1","ADD_TO_CATALOG","Solyx","SGC6523 - COVENTRY","no catalog candidate","medium"
"125","Solyx","SOLYX Etched Leise","2","MS1","ADD_TO_CATALOG","Solyx","Etched Leise","no catalog candidate","medium"
"126","Solyx","Xpel Intelligence 65 XVAS65","2","IL1","ADD_TO_CATALOG","Solyx","Xpel Intelligence 65 XVAS65","no catalog candidate","medium"
"127","Vinyl","Casper Cloaking Film","2","IL1","ADD_TO_CATALOG","Vinyl","Casper Cloaking Film","no catalog candidate","medium"
"128","Vinyl","DOW 795 Black","2","IL1","IGNORE_NON_FILM","","","contains caulk/sealant/consumable terms","high"
"129","3M Fasara","3532 3M Milano","1","MS1","ADD_TO_CATALOG","3M Fasara","3532 3M Milano","no catalog candidate","medium"
"130","3M Fasara","3M - Fasara Cloud Narrow Gray","1","MS1","ADD_TO_CATALOG","3M Fasara","- Fasara Cloud Narrow Gray","no catalog candidate","medium"
"131","3M Fasara","3M Astral Silver","1","MS1","ADD_TO_CATALOG","3M Fasara","Astral Silver","no catalog candidate","medium"
"132","3M Fasara","3M Fasara Milky Crystal SHMLRX 50","1","IL1","ADD_TO_CATALOG","3M Fasara","Milky Crystal SHMLRX 50","no catalog candidate","medium"
"133","3M Fasara","3M Luce","1","IL1","ADD_TO_CATALOG","3M Fasara","Luce","no catalog candidate","medium"
"134","3M Fasara","3M Matte Crystal -L-2","1","MS1","ADD_TO_CATALOG","3M Fasara","Matte Crystal -L-2","no catalog candidate","medium"
"135","3M Fasara","3M Milky Crystal SHMLCRX","1","IL1","ADD_TO_CATALOG","3M Fasara","Milky Crystal SHMLCRX","no catalog candidate","medium"
"136","3M Fasara","3M Sagano","1","MS1","ADD_TO_CATALOG","3M Fasara","Sagano","no catalog candidate","medium"
"137","3M Fasara","3M San Marino","1","IL1","ADD_TO_CATALOG","3M Fasara","San Marino","no catalog candidate","medium"
"138","3M Fasara","3M Yamato","1","MS1","ADD_TO_CATALOG","3M Fasara","Yamato","no catalog candidate","medium"
"139","3M Fasara","Bird Divert","1","IL1","ADD_TO_CATALOG","3M Fasara","Bird Divert","no catalog candidate","medium"
"140","3M Fasara","Fasara 3M Chamonix","1","MS1","ADD_TO_CATALOG","3M Fasara","Chamonix","no catalog candidate","medium"
"141","3M Fasara","Fasara 3M Luna 6","1","MS1","ADD_TO_CATALOG","3M Fasara","Luna 6","no catalog candidate","medium"
"142","3M Fasara","Fasara Chamonix","1","MS1","ADD_TO_CATALOG","3M Fasara","Chamonix","no catalog candidate","medium"
"143","3M Fasara","Fasara Cielo","1","MS1","ADD_TO_CATALOG","3M Fasara","Cielo","no catalog candidate","medium"
"144","3M Fasara","Fasara Cloud Narrow Lt. gray","1","MS1","ADD_TO_CATALOG","3M Fasara","Cloud Narrow Lt. gray","no catalog candidate","medium"
"145","3M Fasara","Fasara Frosted Crystal","1","MS1","ADD_TO_CATALOG","3M Fasara","Frosted Crystal","no catalog candidate","medium"
"146","3M Fasara","Fasara Illumina Glace Dots","1","MS1","ADD_TO_CATALOG","3M Fasara","Illumina Glace Dots","no catalog candidate","medium"
"147","3M Fasara","Fasara Luna 9","1","MS1","ADD_TO_CATALOG","3M Fasara","Luna 9","no catalog candidate","medium"
"148","3M Fasara","Fasara Seattle","1","MS1","ADD_TO_CATALOG","3M Fasara","Seattle","no catalog candidate","medium"
"149","3M Fasara","Fasara Straight Washi","1","MS1","ADD_TO_CATALOG","3M Fasara","Straight Washi","no catalog candidate","medium"
"150","3M Fasara","Fasara Venetian","1","MS1","ADD_TO_CATALOG","3M Fasara","Venetian","no catalog candidate","medium"
"151","3M Fasara","Fasara Wind","1","MS1","ADD_TO_CATALOG","3M Fasara","Wind","no catalog candidate","medium"
"152","3M Fasara","FEATHER FRIENDLY RAIN","1","IL1","ADD_TO_CATALOG","3M Fasara","FEATHER FRIENDLY RAIN","no catalog candidate","medium"
"153","3M Fasara","Feather Friendly Symmetry","1","IL1","ADD_TO_CATALOG","3M Fasara","Feather Friendly Symmetry","no catalog candidate","medium"
"154","3M Fasara","FROSTED CRYSTAL60""","1","IL1","ADD_TO_CATALOG","3M Fasara","FROSTED CRYSTAL60""","no catalog candidate","medium"
"155","3M Solar","3031 3M PR40X","1","MS1","ADD_TO_CATALOG","3M Solar","3031 3M PR40X","no catalog candidate","medium"
"156","3M Solar","3675 3M PR40X","1","MS1","ADD_TO_CATALOG","3M Solar","3675 3M PR40X","no catalog candidate","medium"
"157","3M Solar","3M Amber 35","1","MS1","ADD_TO_CATALOG","3M Solar","Amber 35","no catalog candidate","medium"
"158","3M Solar","3M Amber Low E 20","1","IL1","ADD_TO_CATALOG","3M Solar","Amber Low E 20","no catalog candidate","medium"
"159","3M Solar","3M BLACK BLOCK OUT GLOSSY","1","IL1","ADD_TO_CATALOG","3M Solar","BLACK BLOCK OUT GLOSSY","no catalog candidate","medium"
"160","3M Solar","3M BLACK CAULK","1","IL1","IGNORE_NON_FILM","","","contains caulk/sealant/consumable terms","high"
"161","3M Solar","3m Black IPA caulk","1","IL1","IGNORE_NON_FILM","","","contains caulk/sealant/consumable terms","high"
"162","3M Solar","3M Blaze","1","IL1","ADD_TO_CATALOG","3M Solar","Blaze","no catalog candidate","medium"
"163","3M Solar","3M Bronze Caulk","1","IL1","IGNORE_NON_FILM","","","contains caulk/sealant/consumable terms","high"
"164","3M Solar","3M Ceramic 40","1","MS1","ADD_TO_CATALOG","3M Solar","Ceramic 40","no catalog candidate","medium"
"165","3M Solar","3M Ceramic 70%","1","MS1","ADD_TO_CATALOG","3M Solar","Ceramic 70%","no catalog candidate","medium"
"166","3M Solar","3M CMIR","1","MS1","ADD_TO_CATALOG","3M Solar","CMIR","no catalog candidate","medium"
"167","3M Solar","3M CMIR 15%","1","MS1","ADD_TO_CATALOG","3M Solar","CMIR 15%","no catalog candidate","medium"
"168","3M Solar","3M CMIR 25%","1","MS1","ADD_TO_CATALOG","3M Solar","CMIR 25%","no catalog candidate","medium"
"169","3M Solar","3M CMIR 5%","1","MS1","ADD_TO_CATALOG","3M Solar","CMIR 5%","no catalog candidate","medium"
"170","3M Solar","3M Color Stable 20% CS20","1","MS1","ADD_TO_CATALOG","3M Solar","Color Stable 20% CS20","no catalog candidate","medium"
"171","3M Solar","3M Dusted Crystal 48"" (1 of 2)","1","IL1","ADD_TO_CATALOG","3M Solar","Dusted Crystal 48"" (1 of 2)","no catalog candidate","medium"
"172","3M Solar","3M Dusted Crystal 48"" (2 of 2)","1","IL1","ADD_TO_CATALOG","3M Solar","Dusted Crystal 48"" (2 of 2)","no catalog candidate","medium"
"173","3M Solar","3M ESSEN","1","MS1","ADD_TO_CATALOG","3M Solar","ESSEN","no catalog candidate","medium"
"174","3M Solar","3M IPA Black","1","IL1","IGNORE_NON_FILM","","","contains caulk/sealant/consumable terms","high"
"175","3M Solar","3M IPA White","1","IL1","IGNORE_NON_FILM","","","contains caulk/sealant/consumable terms","high"
"176","3M Solar","3M LE 20","1","IL1","ADD_TO_CATALOG","3M Solar","LE 20","no catalog candidate","medium"
"177","3M Solar","3M LOW E 35","1","MS1","ADD_TO_CATALOG","3M Solar","LOW E 35","no catalog candidate","medium"
"178","3M Solar","3M Low E Silver 35","1","IL1","ADD_TO_CATALOG","3M Solar","Low E Silver 35","no catalog candidate","medium"
"179","3M Solar","3M Matte Crystal EXT","1","MS1","ADD_TO_CATALOG","3M Solar","Matte Crystal EXT","no catalog candidate","medium"
"180","3M Solar","3M Neutral 50 RE50NEARL","1","IL1","ADD_TO_CATALOG","3M Solar","Neutral 50 RE50NEARL","no catalog candidate","medium"
"181","3M Solar","3M PR 20 Exterior","1","MS1","REVIEW_MAP_CANDIDATE","3M Solar","PR 20 EXT","multiple normalized matches (2)","medium"
"182","3M Solar","3M PR 70X","1","MS1","ADD_TO_CATALOG","3M Solar","PR 70X","no catalog candidate","medium"
"183","3M Solar","3M Prestige 20X 60"" F254325","1","MS1","ADD_TO_CATALOG","3M Solar","Prestige 20X 60"" F254325","no catalog candidate","medium"
"184","3M Solar","3M Prestige 40X","1","MS1","ADD_TO_CATALOG","3M Solar","Prestige 40X","no catalog candidate","medium"
"185","3M Solar","3M PRX 20","1","MS1","ADD_TO_CATALOG","3M Solar","PRX 20","no catalog candidate","medium"
"186","3M Solar","3M PRX 70 EXTERIOR","1","IL1","ADD_TO_CATALOG","3M Solar","PRX 70 EXTERIOR","no catalog candidate","medium"
"187","3M Solar","3M PRX 90 Ext.","1","IL1","ADD_TO_CATALOG","3M Solar","PRX 90 Ext.","no catalog candidate","medium"
"188","3M Solar","3M PS8","1","IL1","ADD_TO_CATALOG","3M Solar","PS8","no catalog candidate","medium"
"189","3M Solar","3M SAM MARINO MILKY MILKY","1","IL1","ADD_TO_CATALOG","3M Solar","SAM MARINO MILKY MILKY","no catalog candidate","medium"
"190","3M Solar","3M Silver 15 Exterior","1","MS1","ADD_TO_CATALOG","3M Solar","Silver 15 Exterior","no catalog candidate","medium"
"191","3M Solar","3M Silver 20 60"" MISSING","1","IL1","ADD_TO_CATALOG","3M Solar","Silver 20 60"" MISSING","no catalog candidate","medium"
"192","3M Solar","3M Silver P-18 P18ARL","1","IL1","ADD_TO_CATALOG","3M Solar","Silver P-18 P18ARL","no catalog candidate","medium"
"193","3M Solar","3M Tram Duranod IL","1","IL1","ADD_TO_CATALOG","3M Solar","Tram Duranod IL","no catalog candidate","medium"
"194","3M Solar","3M Ultra SNV25","1","MS1","ADD_TO_CATALOG","3M Solar","Ultra SNV25","no catalog candidate","medium"
"195","3M Solar","3M White Blockout Matte","1","IL1","ADD_TO_CATALOG","3M Solar","White Blockout Matte","no catalog candidate","medium"
"196","3M Solar","3M White Scotchcal","1","MS1","ADD_TO_CATALOG","3M Solar","White Scotchcal","no catalog candidate","medium"
"197","3M Solar","A189 3M Obsidian 5","1","MS1","ADD_TO_CATALOG","3M Solar","A189 3M Obsidian 5","no catalog candidate","medium"
"198","3M Solar","Ceramic 50","1","IL1","ADD_TO_CATALOG","3M Solar","Ceramic 50","no catalog candidate","medium"
"199","3M Solar","DR 18 Cool","1","IL1","ADD_TO_CATALOG","3M Solar","DR 18 Cool","no catalog candidate","medium"
"200","3M Solar","M224 3M Silver 15 EXT","1","MS1","ADD_TO_CATALOG","3M Solar","M224 3M Silver 15 EXT","no catalog candidate","medium"
