manufacturer,film_name,box_count,warehouses,recommendation,target_manufacturer,target_film_name,reason,confidence
"Avery Dennison","AVERY - Silver 20 XRTM Exterior","2","IL1","ADD_TO_CATALOG","Avery Dennison","- Silver 20 XRTM Exterior","no catalog candidate","medium"
"Avery Dennison","Avery E-Lite 45","2","IL1","ADD_TO_CATALOG","Avery Dennison","E-Lite 45","no catalog candidate","medium"
"Avery Dennison","Avery E-Lite 70","2","IL1","ADD_TO_CATALOG","Avery Dennison","E-Lite 70","no catalog candidate","medium"
"Avery Dennison","Avery Matte White","2","MS1","ADD_TO_CATALOG","Avery Dennison","Matte White","no catalog candidate","medium"
"Avery Dennison","Avery Natura 05","2","MS1","ADD_TO_CATALOG","Avery Dennison","Natura 05","no catalog candidate","medium"
"Avery Dennison","Avery Neutral Perlite 50","2","MS1","ADD_TO_CATALOG","Avery Dennison","Neutral Perlite 50","no catalog candidate","medium"
"Avery Dennison","Avery Perlite 50","2","MS1","ADD_TO_CATALOG","Avery Dennison","Perlite 50","no catalog candidate","medium"
"Avery Dennison","Avery White Matte A.D.","2","MS1","ADD_TO_CATALOG","Avery Dennison","White Matte A.D.","no catalog candidate","medium"
"Avery Dennison","HT LITE 70","2","IL1","ADD_TO_CATALOG","Avery Dennison","HT LITE 70","no catalog candidate","medium"
"Di-Noc","Di-Noc Stone","2","MS1","ADD_TO_CATALOG","Di-Noc","Di-Noc Stone","no catalog candidate","medium"
"Llumar","Llumar ATC 30%","2","MS1","ADD_TO_CATALOG","Llumar","ATC 30%","no catalog candidate","medium"
"Llumar","Llumar ATC 35%","2","MS1","ADD_TO_CATALOG","Llumar","ATC 35%","no catalog candidate","medium"
"Llumar","Llumar CTX 5%","2","MS1","ADD_TO_CATALOG","Llumar","CTX 5%","no catalog candidate","medium"
"Llumar","Llumar CTX 50%","2","MS1","ADD_TO_CATALOG","Llumar","CTX 50%","no catalog candidate","medium"
"Llumar","Llumar Frost","2","MS1","ADD_TO_CATALOG","Llumar","Frost","no catalog candidate","medium"
"Llumar","Llumar N1065","2","IL1","ADD_TO_CATALOG","Llumar","N1065","no catalog candidate","medium"
